year,month,day,hour,monthdayhour,DegreeF,DegreeC
2014,1,13,13,011313,44.6,7
2014,1,13,14,011314,44.6,7
2014,1,13,15,011315,44.6,7
2014,1,13,16,011316,44.6,7
2014,1,13,17,011317,42.8,6
2014,1,13,18,011318,44.6,7
2014,1,13,19,011319,42.8,6
2014,1,13,20,011320,42.8,6
2014,1,13,21,011321,41,5
2014,1,13,22,011322,41,5
2014,1,13,23,011323,41,5
2014,1,14,0,011400,41,5
2014,1,14,1,011401,39.2,4
2014,1,14,2,011402,39.2,4
2014,1,14,3,011403,39.2,4
2014,1,14,4,011404,37.4,3
2014,1,14,5,011405,35.6,2
2014,1,14,6,011406,35.6,2
2014,1,14,7,011407,33.8,1
2014,1,14,8,011408,32,0
2014,1,14,9,011409,35.6,2
2014,1,14,10,011410,35.6,2
2014,1,14,11,011411,35.6,2
2014,1,14,12,011412,35.6,2
2014,1,14,13,011413,39.2,4
2014,1,14,14,011414,37.4,3
2014,1,14,14,011414,35.6,2
2014,1,14,15,011415,37.4,3
2014,1,14,16,011416,37.4,3
2014,1,14,17,011417,35.6,2
2014,1,14,18,011418,35.6,2
2014,1,14,19,011419,33.8,1
2014,1,14,20,011420,33.8,1
2014,1,14,21,011421,32,0
2014,1,14,22,011422,32,0
2014,1,14,23,011423,32,0
2014,1,15,0,011500,32,0
2014,1,15,0,011500,32,0
2014,1,15,1,011501,32,0
2014,1,15,2,011502,32,0
2014,1,15,3,011503,32,0
2014,1,15,4,011504,32,0
2014,1,15,5,011505,33.8,1
2014,1,15,6,011506,30.2,-1
2014,1,15,7,011507,30.2,-1
2014,1,15,8,011508,30.2,-1
2014,1,15,9,011509,30.2,-1
2014,1,15,10,011510,28.4,-2
2014,1,15,11,011511,28.4,-2
2014,1,15,12,011512,28.4,-2
2014,1,15,13,011513,28.4,-2
2014,1,15,14,011514,30.2,-1
2014,1,15,14,011514,30.2,-1
2014,1,15,15,011515,30.2,-1
2014,1,15,16,011516,28.4,-2
2014,1,15,17,011517,28.4,-2
2014,1,15,18,011518,26.6,-3
2014,1,15,19,011519,24.8,-4
2014,1,15,20,011520,24.8,-4
2014,1,15,21,011521,24.8,-4
2014,1,15,22,011522,24.8,-4
2014,1,15,23,011523,23,-5
2014,1,16,0,011600,23,-5
2014,1,16,1,011601,23,-5
2014,1,16,2,011602,23,-5
2014,1,16,3,011603,23,-5
2014,1,16,4,011604,23,-5
2014,1,16,5,011605,23,-5
2014,1,16,6,011606,23,-5
2014,1,16,7,011607,23,-5
